dataset,variant,metric,mean,sd,ci95_low,ci95_high,attack_seeds
ecg,countergan,exact_match_rate,0.0,0.0,0.0,0.0,10
ecg,countergan,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
ecg,countergan,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
ecg,countergan,dcr_mean,0.07828181012415267,0.0004597706220897533,0.07802083298185544,0.07855784823788904,10
ecg,countergan,dcr_median,0.07732070710039445,0.0006379787405197041,0.07695047753895656,0.07767913552252259,10
ecg,countergan,dcr_p01,0.044865127536914615,0.0008795419495094028,0.044377282306554425,0.04540995502495347,10
ecg,countergan,dcr_p05,0.05094135902170022,0.0007372214028131805,0.050563567343774575,0.051429957000968855,10
ecg,countergan,nndr_mean,0.9454070628378461,0.0018372062888760002,0.944222980623378,0.9463267735899586,10
ecg,countergan,nndr_median,0.9657168897707301,0.0015349935642939283,0.9648089009822525,0.9665506313699624,10
ecg,countergan,train_to_holdout_dcr_ratio_median,0.5707835670208119,0.015024952106989701,0.5613796451658717,0.5786866618709676,10
ecg,dp_eps16,exact_match_rate,0.0,0.0,0.0,0.0,10
ecg,dp_eps16,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
ecg,dp_eps16,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
ecg,dp_eps16,dcr_mean,0.07721568453201014,0.000573464679149871,0.07687462676563603,0.07755037053737372,10
ecg,dp_eps16,dcr_median,0.07585015847471997,0.0010094873346320186,0.07525267922724534,0.07642377127421081,10
ecg,dp_eps16,dcr_p01,0.043601738925707574,0.0009302385210785127,0.04309750753040815,0.04419811258694918,10
ecg,dp_eps16,dcr_p05,0.04998644062317574,0.0008206945630822975,0.04952072990677943,0.05047600965789006,10
ecg,dp_eps16,nndr_mean,0.9582077069233387,0.001387450375122828,0.9574059912146478,0.9590223501500639,10
ecg,dp_eps16,nndr_median,0.9748267166649341,0.0009706250940641257,0.9742729494023944,0.9754129607379145,10
ecg,dp_eps16,train_to_holdout_dcr_ratio_median,0.47906295779597025,0.012886749546441827,0.47126528844388593,0.48621997511099235,10
ecg,dp_eps2,exact_match_rate,0.0,0.0,0.0,0.0,10
ecg,dp_eps2,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
ecg,dp_eps2,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
ecg,dp_eps2,dcr_mean,0.08468014699720532,0.0006880740306431707,0.08429948425244133,0.08510671380179105,10
ecg,dp_eps2,dcr_median,0.08346796127805517,0.0007376215203347853,0.08305134516560846,0.08390610810582858,10
ecg,dp_eps2,dcr_p01,0.047349837324530894,0.0008682067505039121,0.046837646885799646,0.0478770759974613,10
ecg,dp_eps2,dcr_p05,0.05504862456391949,0.0005509308228701551,0.0547461943897045,0.05538419196101668,10
ecg,dp_eps2,nndr_mean,0.9558147255463221,0.0014776214126050258,0.9550234088011775,0.9567498906607057,10
ecg,dp_eps2,nndr_median,0.9734857620961546,0.0012743442890382907,0.9727536449260601,0.9742324527103248,10
ecg,dp_eps2,train_to_holdout_dcr_ratio_median,0.5139895613108643,0.013519996914090091,0.5058959936313177,0.5217438086457431,10
ecg,dp_eps4,exact_match_rate,0.0,0.0,0.0,0.0,10
ecg,dp_eps4,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
ecg,dp_eps4,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
ecg,dp_eps4,dcr_mean,0.084413325638702,0.000565056888837408,0.08408296192129776,0.0847433301398575,10
ecg,dp_eps4,dcr_median,0.08220856788257999,0.0005593472944810818,0.08187298110156735,0.0825267215847086,10
ecg,dp_eps4,dcr_p01,0.047770232080978546,0.0009287292898334988,0.04719487927419613,0.04828100755785615,10
ecg,dp_eps4,dcr_p05,0.05620898499389608,0.0008086705594787282,0.0557410875161056,0.05670769798755314,10
ecg,dp_eps4,nndr_mean,0.9533584343021305,0.001423631106471897,0.9525521232847131,0.9542601492687611,10
ecg,dp_eps4,nndr_median,0.9686210581205744,0.0015722308184171468,0.9676339110037974,0.9695181106459563,10
ecg,dp_eps4,train_to_holdout_dcr_ratio_median,0.49373995308561475,0.012782329539692584,0.4863008062168213,0.5016117806518074,10
ecg,dp_eps8,exact_match_rate,0.0,0.0,0.0,0.0,10
ecg,dp_eps8,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
ecg,dp_eps8,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
ecg,dp_eps8,dcr_mean,0.07754080710976752,0.0006095233183912986,0.0771888572655278,0.07790924593529912,10
ecg,dp_eps8,dcr_median,0.07675187889597954,0.0009138439737377059,0.07622519260657942,0.07727643260481974,10
ecg,dp_eps8,dcr_p01,0.03839159316506925,0.0009498509757940841,0.03784261033341358,0.03895925520439201,10
ecg,dp_eps8,dcr_p05,0.04556977631958069,0.0006727450110168874,0.04516964206139244,0.04594972629944748,10
ecg,dp_eps8,nndr_mean,0.9560699325268527,0.002223618912041344,0.9547556908600208,0.9573174355415248,10
ecg,dp_eps8,nndr_median,0.9712133591208094,0.001593025302478727,0.9702960093338098,0.9721446146615774,10
ecg,dp_eps8,train_to_holdout_dcr_ratio_median,0.445257119258732,0.010621222976542402,0.4384972984373836,0.4509857585804206,10
